School LEA,School Name,Overall Actual Grad,Overall Expected Grad,Overall Graduation Rate,Hispanic Actual Grad,Hispanic Expected Grad,Hispanic Overall Grad Rate,Native American Actual Grad,Native American Expected Grad,Native American Overall Grad Rate,Asian Actual Grad,Asian Expected Grad,Asian Overall Grad Rate,African American Actual Grad,African American Expected Grad,African American Overall Grad Rate,Hawaiian/Pacific Islander Actual Grad,Hawaiian/Pacific Islander Expected Grad,Hawaiian/Pacific Islander Overall Grad Rate,Caucasian Actual Grad,Caucasian Expected Grad,Caucasian Overall Grad Rate,Two or More Actual Grad,Two or More Expected Grad,Two or More Overall Grad Rate,Economic Disadvantage Actual Grad,Economic Disadvantage Expected Grad,Economic Disadvantage Overall Grad Rate,SPED Actual Grad,SPED Expected Grad,SPED Overall Grad Rate,Migrant Actual Grad,Migrant Expected Grad,Migrant Overall Grad Rate,LEP Actual Grad,LEP Expected Grad,LEP Overall Grad Rate,TAGG Actual Grad,TAGG Expected Grad,TAGG Overall Grad Rate
101004,Dewitt High School,89,101,88.12,0,0,0.00,0,0,0.00,RV,RV,RV,22,24,91.67,0,0,0.00,65,75,86.67,RV,RV,RV,45,52,86.54,13,14,92.86,0,0,0.00,0,0,0.00,49,56,87.50
104025,Stuttgart High School,118,144,81.94,RV,RV,RV,0,0,0.00,RV,RV,RV,53,74,71.62,0,0,0.00,58,61,95.08,RV,RV,RV,55,73,75.34,RV,RV,RV,0,0,0.00,RV,RV,RV,57,75,76.00
201006,Crossett High School,115,149,77.18,RV,RV,RV,0,0,0.00,RV,RV,RV,45,58,77.59,0,0,0.00,68,88,77.27,0,0,0.00,54,69,78.26,RV,RV,RV,0,0,0.00,RV,RV,RV,58,74,78.38
203018,Hamburg High School,120,139,86.33,11,12,91.67,0,0,0.00,RV,RV,RV,37,44,84.09,0,0,0.00,71,82,86.59,0,0,0.00,63,77,81.82,RV,RV,RV,RV,RV,RV,10,11,90.91,67,81,82.72
302007,Cotter High School,43,45,95.56,0,0,0.00,0,0,0.00,RV,RV,100.00,0,0,0.00,0,0,0.00,42,44,95.45,0,0,0.00,27,28,96.43,RV,RV,RV,0,0,0.00,0,0,0.00,28,29,96.55
303703,Mountain Home Career Academies,240,285,84.21,13,13,100.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,219,261,83.91,RV,RV,RV,101,127,79.53,8,12,66.67,0,0,0.00,RV,RV,RV,103,131,78.63
304022,Norfork High School,34,35,97.14,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,32,32,100.00,RV,RV,RV,29,30,96.67,RV,RV,RV,0,0,0.00,0,0,0.00,29,30,96.67
401003,Bentonville High School,897,1011,88.72,102,117,87.18,12,17,70.59,33,33,100.00,27,31,87.10,RV,RV,RV,677,762,88.85,41,46,89.13,131,183,71.58,61,83,73.49,0,0,0.00,21,24,87.50,182,244,74.59
402009,Decatur High School,36,44,81.82,12,12,100.00,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,19,25,76.00,0,0,0.00,25,28,89.29,RV,RV,RV,RV,RV,RV,RV,RV,RV,27,30,90.00
403014,Gentry High School,97,113,85.84,16,21,76.19,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,55,65,84.62,14,14,100.00,42,54,77.78,8,10,80.00,RV,RV,RV,RV,RV,RV,46,58,79.31
404022,Gravette High School,132,159,83.02,9,10,90.00,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,117,138,84.78,RV,RV,RV,36,52,69.23,11,14,78.57,0,0,0.00,7,10,70.00,44,60,73.33
405048,Rogers High School,491,529,92.82,202,222,90.99,RV,RV,RV,11,11,100.00,10,10,100.00,RV,RV,RV,252,267,94.38,10,11,90.91,237,258,91.86,35,41,85.37,RV,RV,RV,125,139,89.93,261,289,90.31
405052,Rogers Heritage High School,479,528,90.72,185,200,92.50,RV,RV,RV,10,10,100.00,RV,RV,RV,RV,RV,RV,256,285,89.82,14,15,93.33,265,295,89.83,57,64,89.06,RV,RV,RV,127,136,93.38,292,324,90.12
406050,Siloam Springs High School,288,324,88.89,81,89,91.01,17,24,70.83,RV,RV,RV,RV,RV,RV,RV,RV,RV,176,193,91.19,RV,RV,RV,121,138,87.68,19,20,95.00,RV,RV,RV,51,53,96.23,137,155,88.39
407027,Pea Ridge High School,91,106,85.85,RV,RV,RV,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,85,99,85.86,0,0,0.00,25,34,73.53,RV,RV,RV,0,0,0.00,RV,RV,RV,26,35,74.29
407703,Pea Ridge Manufacturing & Business Academy,30,31,96.77,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,27,28,96.43,0,0,0.00,16,16,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,18,18,100.00
440703,Arkansas Arts Academy High School,57,59,96.61,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,47,49,95.92,0,0,0.00,13,13,100.00,RV,RV,RV,0,0,0.00,RV,RV,RV,20,20,100.00
501002,Alpena High School,25,28,89.29,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,24,27,88.89,RV,RV,RV,13,15,86.67,RV,RV,RV,0,0,0.00,0,0,0.00,13,15,86.67
502007,Bergman High School,79,83,95.18,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,76,80,95.00,0,0,0.00,30,32,93.75,RV,RV,RV,0,0,0.00,0,0,0.00,34,36,94.44
503016,Harrison High School,199,221,90.05,RV,RV,RV,0,0,0.00,RV,RV,RV,RV,RV,RV,0,0,0.00,190,212,89.62,0,0,0.00,75,92,81.52,10,10,100.00,0,0,0.00,0,0,0.00,80,97,82.47
504023,Omaha High School,28,34,82.35,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,24,30,80.00,0,0,0.00,16,19,84.21,RV,RV,RV,0,0,0.00,0,0,0.00,16,19,84.21
505027,Valley Springs High School,72,76,94.74,RV,RV,RV,RV,RV,RV,RV,RV,RV,0,0,0.00,0,0,0.00,69,72,95.83,RV,RV,RV,28,30,93.33,RV,RV,RV,0,0,0.00,0,0,0.00,34,36,94.44
506032,Lead Hill High School,25,30,83.33,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,21,26,80.77,0,0,0.00,25,30,83.33,RV,RV,RV,RV,RV,RV,0,0,0.00,25,30,83.33
601007,Hermitage High School,34,43,79.07,10,14,71.43,0,0,0.00,0,0,0.00,RV,RV,RV,0,0,0.00,19,23,82.61,0,0,0.00,23,29,79.31,RV,RV,RV,RV,RV,RV,RV,RV,RV,24,32,75.00
