LEA,LEADescription,SchoolEnrollment,SchoolChoiceTotal
101001,Dewitt Elementary School,489,2
101003,Dewitt Middle School,291,2
101004,Dewitt High School,390,2
101008,Gillett Elementary School,87,0
104021,Park Avenue Elementary School,637,32
104023,Meekins Middle School,252,15
104025,Stuttgart High School,510,29
104026,Stuttgart Junior High School,262,16
201001,Crossett Elementary School,720,3
201006,Crossett High School,529,1
201008,Crossett Middle School,536,2
203017,Hamburg Middle School,487,18
203018,Hamburg High School,595,19
203019,Wilmot Elementary School,49,2
203020,Noble/Allbritton Elementary Sc,679,10
203027,Portland Elementary School,125,14
302006,Amanda Gist Elementary School,408,45
302007,Cotter High School,293,44
303013,Nelson Wilks Herron Elementary,632,20
303014,Pinkston Middle School,618,20
303018,Mountain Home Kindergarten,267,0
303019,Mountain Home Jr. High School,302,12
303024,Hackler Intermediate School,915,25
304021,Norfork Elementary School,252,4
304022,Norfork High School,220,12
401001,Thomas Jefferson Elem. School,490,0
401002,Washington Junior High School,734,0
401003,Bentonville High School,4358,0
401004,R.E. Baker Elementary School,551,0
401005,Old High Middle School,598,0
401006,Sugar Creek Elementary School,514,0
401007,Apple Glen Elementary School,533,0
401008,Ardis Ann Middle School,623,0
401009,Elm Tree Elementary School,610,0
401010,Lincoln Junior High School,830,0
401011,Mary Mae Jones Elem. School,634,0
401012,Central Park At Morning Star,876,0
401013,Ruth Barker Middle School,571,0
401014,Centerton Gamble Elementary,650,0
401015,Cooper Elementary School,680,0
401016,Willowbrook Elementary School,835,0
401017,Bright Field Middle School,646,0
401018,J. William Fulbright Junior High School,764,0
402008,Decatur Northside Elementary,284,0
402009,Decatur High School,141,0
402011,Decatur Middle School,119,0
403013,Gentry Intermediate School,305,8
403014,Gentry High School,450,8
403015,Gentry Middle School,327,9
403016,Gentry Primary School,336,7
404022,Gravette High School,619,17
404023,Glenn Duffy Elementary School,386,5
404024,Gravette Middle School,453,7
404025,Gravette Upper Elementary,412,10
405031,Eastside Elementary School,533,1
405032,Garfield Elementary School,131,0
405033,Lowell Elementary School,444,0
405034,Northside Elementary School,538,0
405036,Westside Elementary School,427,1
405037,Elmwood Middle School,798,1
405039,Oakdale Middle School,802,0
405040,Grace Hill Elementary School,453,0
405041,Bonnie Grimes Elem. School,445,0
405042,Reagan Elementary School,439,1
405043,Frank Tillery Elem. School,602,0
405044,Joe Mathias Elementary School,543,0
405045,Kirksey Middle School,1023,1
405046,Lingle Middle School,899,0
405047,Bellview Elementary,448,1
405048,Rogers High School,2015,10
405049,Jones Elementary School,499,0
405050,Elza R. Tucker Elem. School,578,1
405051,Old Wire Elementary School,532,0
405052,Rogers Heritage High School,2013,1
405053,Janie Darr Elementary School,480,0
406045,Siloam Springs Intermediate School,615,6
