LEA,LEADescription,Expulsions,WeaponsIncidents,StaffAssaults,StudentAssaults
101001,Dewitt Elementary School,,3,2,
101003,Dewitt Middle School,,,,
101004,Dewitt High School,,,,
101008,Gillett Elementary School,,1,,
104021,Park Avenue Elementary School,,,,
104023,Meekins Middle School,1,,2,1
104025,Stuttgart High School,3,1,,3
104026,Stuttgart Junior High School,,,,6
201001,Crossett Elementary School,,4,2,
201006,Crossett High School,,1,1,4
201008,Crossett Middle School,,1,1,10
203017,Hamburg Middle School,,,,
203018,Hamburg High School,,,,
203019,Wilmot Elementary School,,,,
203020,Noble/Allbritton Elementary Sc,,1,1,12
203027,Portland Elementary School,,,,
302006,Amanda Gist Elementary School,,1,,
302007,Cotter High School,,,,
303013,Nelson Wilks Herron Elementary,,8,1,
303014,Pinkston Middle School,,,,
303018,Mountain Home Kindergarten,,,,
303019,Mountain Home Jr. High School,,1,,14
303024,Hackler Intermediate School,,2,15,45
303703,Mtn Home High Career Academics,,2,5,7
304021,Norfork Elementary School,,1,,
304022,Norfork High School,,,,
401001,Thomas Jefferson Elem. School,,,,
401002,Washington Junior High School,,,,
401003,Bentonville High School,2,1,,
401004,R.E. Baker Elementary School,,,,
401005,Old High Middle School,1,2,1,
401006,Sugar Creek Elementary School,,1,,
401007,Apple Glen Elementary School,,,,
401008,Ardis Ann Middle School,,1,,1
401009,Elm Tree Elementary School,,,,
401010,Lincoln Junior High School,8,2,1,18
401011,Mary Mae Jones Elem. School,,,5,1
401012,Central Park At Morning Star,,1,,
401013,Ruth Barker Middle School,,1,,
401014,Centerton Gamble Elementary,,,,
401015,Cooper Elementary School,,,,
401016,Willowbrook Elementary School,,,,
401017,Bright Field Middle School,0,,,
401018,J. William Fulbright Junior High School,,,,
402008,Decatur Northside Elementary,,2,,
402009,Decatur High School,,,,
402011,Decatur Middle School,,,1,7
403013,Gentry Intermediate School,,,,
403014,Gentry High School,,,,
403015,Gentry Middle School,,,,
403016,Gentry Primary School,,,,
404022,Gravette High School,,3,,10
404023,Glenn Duffy Elementary School,,,,4
404024,Gravette Middle School,,3,1,2
404025,Gravette Upper Elementary,,,1,15
405031,Eastside Elementary School,,,,
405032,Garfield Elementary School,,,,
405033,Lowell Elementary School,,,,
405034,Northside Elementary School,,,,
405036,Westside Elementary School,,,,
405037,Elmwood Middle School,,,,3
405039,Oakdale Middle School,1,,2,
405040,Grace Hill Elementary School,,,,3
405041,Bonnie Grimes Elem. School,,,,
405042,Reagan Elementary School,,,2,
405043,Frank Tillery Elem. School,,,,
405044,Joe Mathias Elementary School,,,,
405045,Kirksey Middle School,1,,,3
405046,Lingle Middle School,,4,,1
405047,Bellview Elementary,,,,
405048,Rogers High School,5,12,1,4
405049,Jones Elementary School,,,,
405050,Elza R. Tucker Elem. School,,,,
405051,Old Wire Elementary School,,,,
405052,Rogers Heritage High School,4,4,1,4
405053,Janie Darr Elementary School,,,,
405703,Rogers New Technology High School,,2,,1
406045,Siloam Springs Intermediate School,,,,
406046,Northside Elementary School,,,,
406047,Southside Elementary School,,,,
406048,"Delbert ""pete"" & Pat Allen Ele",,,,
406049,Siloam Springs Middle School,2,3,,
406050,Siloam Springs High School,4,,,
407025,Pea Ridge Primary School,,1,,
407026,Pea Ridge Intermediate School,,,,
407027,Pea Ridge High School,,2,,2
407028,Pea Ridge Middle School,,,,2
407703,Pea Ridge Manufacturing & Business Academy,,,,
440701,Arkansas Arts Academy Elementary/Middle School,,,,
440703,Arkansas Arts Academy High School,,,,
442702,Northwest Arkansas Classical Academy,,,,
442703,Northwest Arkansas Classical Academy High,,,,
501001,Alpena Elementary School,,2,1,3
501002,Alpena High School,,,,
502006,Bergman Elementary School,,,1,
502007,Bergman High School,,,,
502008,Bergman Middle School,,,,1
503011,Eagle Heights Elem. School,,,,
503012,Forest Heights Elem. School,,,,
503013,Skyline Heights Elem. School,,,,
503014,Woodland Heights Elem. School,,,,
503015,Harrison Jr. High School,3,3,,11
503016,Harrison High School,,1,,
503018,Harrison Middle School,,,1,13
504022,Omaha Elementary School,,,1,3
504023,Omaha High School,,4,,1
505026,Valley Springs Elem. School,,,,
505027,Valley Springs High School,1,,,
505028,Valley Springs Middle School,,1,,
506031,Lead Hill Elementary School,,,2,16
