LEA,LEADescription,OverallAttendanceRate,HispanicAttendanceRate,AfricanAmericanAttendanceRate,CaucasianAttendanceRate,EconDisadAttendanceRate,SPEDAttendanceRate,LEPAttendanceRate,TAGGAttendanceRate,OverallGraduationRate,HispanicGraduationRate,AfricanAmericanGraduationRate,CaucasianGraduationRate,EconDisadGraduationRate,SPEDGraduationRate,LEPGraduationRate,TAGGGraduationRate,DropoutRate,GradeInflationRateEOC,GradeInflationRateACT,CollegeRemediationRate,DistrictProvidesTextbooks,Oct1Enrollment,Accredited,AccreditedCited,AccreditedProbationary,NeedsImprovement,NeedsImprovementPriority,NeedsImprovementPriorityMetYear1ExitCriteria,NeedsImprovementFocus,NeedsImprovementFocusMetYear1ExitCriteria,Achieving,Exemplary,Rating,OverallPoints,A_Rating_Count,B_Rating_Count,C_Rating_Count,D_Rating_Count,F_Rating_Count
0101001,Dewitt Elementary School,95.04,95.71,96.68,94.25,95.28,94.43,97.71,94.99,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,489,Y,N,N,Y,N,N,N,N,N,N,C,221,0,0,1,0,0
0101003,Dewitt Middle School,93.65,96.24,93.79,93.53,94.02,92.08,0,93.71,RV,RV,RV,RV,RV,RV,RV,RV,1.43,,,,Y,291,Y,N,N,N,N,N,Y,Y,N,N,C,212,0,0,1,0,0
0101004,Dewitt High School,94.45,96.85,96.11,93.56,95.17,92.94,100,94.55,88.12,RV,91.67,86.67,86.54,92.86,RV,87.50,4.62,,56.90,63.08,Y,390,Y,N,N,Y,N,N,N,N,N,N,B,246,0,1,0,0,0
0101008,Gillett Elementary School,94.61,97.69,98.41,95.24,95.7,96.17,97.87,95.82,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,87,Y,N,N,Y,N,N,N,N,N,N,B,253,0,1,0,0,0
0104021,Park Avenue Elementary School,94.23,95.83,94.33,94.35,95.57,94.54,96.02,95.03,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,637,Y,N,N,Y,N,N,N,N,N,N,C,212,0,0,1,0,0
0104023,Meekins Middle School,94.94,95.73,94.64,94.94,95.89,93.66,95.77,95.25,RV,RV,RV,RV,RV,RV,RV,RV,0,,,,Y,252,Y,N,N,N,N,N,Y,N,N,N,D,209,0,0,0,1,0
0104025,Stuttgart High School,92.53,91.32,92.46,92.06,93.29,89.6,92.65,92.33,81.94,RV,71.62,95.08,75.34,RV,RV,76.00,3.92,,45.30,52.44,Y,510,Y,N,N,Y,N,N,N,N,N,N,C,218,0,0,1,0,0
0104026,Stuttgart Junior High School,95.46,99.01,95.58,95.42,94.79,92.63,99.01,94.94,RV,RV,RV,RV,RV,RV,RV,RV,1.53,,,,Y,262,Y,N,N,N,N,N,Y,N,N,N,D,184,0,0,0,1,0
0201001,Crossett Elementary School,94.06,95.77,95.48,92.95,95.09,94.01,96.07,94.37,RV,RV,RV,RV,RV,RV,RV,RV,,,,,Y,720,Y,N,N,Y,N,N,N,N,N,N,C,211,0,0,1,0,0
0201006,Crossett High School,94.55,92.23,96.13,93.53,95.5,96.4,89.55,95.45,77.18,RV,77.59,77.27,78.26,RV,RV,78.38,2.09,,46.30,75.51,Y,529,N,Y,N,Y,N,N,N,N,N,N,C,212,0,0,1,0,0
