LEA,LEADescription,NumberOfStudentsTakingVoluntaryUnivACT,ParticipatedInRemediation,NumberOfStudentsInCCRPP,NumberOfStudentsTestedInGrades9Thru11,NumberOfStudentsTestedInGrade12,AvgReading,AvgEnglish,AvgMath,AvgScience,AvgComposite,NumberOfStudentsTested,CriticalReadingMean,MathMean,WritingMean,NumberOfStudentsTakingAPCourses,NumberOfAPExamsTaken,NumberOfAPExamsScored3OrAbove,NumberOfStudentsTakingIBCourses,OverallCollegeGoingRate,AfricanAmericanCollegeGoingRate,CaucasianCollegeGoingRate,HispanicCollegeGoingRate,SPEDCollegeGoingRate,EconDisadCollegeGoingRate,LEPCollegeGoingRate,OverallCCAR,AfricanAmericanCCAR,CaucasianCCAR,HispanicCCAR,SPEDCCAR,EconDisadCCAR,LEPCCAR
0101004,Dewitt High School,,,,72,65,19.94,18.72,18.43,19.20,19.23,2,RV,RV,RV,78,118,12,,57.8,,,,,,,,,,,,,
0104025,Stuttgart High School,,,,92,82,20.61,19.77,20.06,20.13,20.30,1,RV,RV,RV,115,160,21,,63.5,,,,,,,,,,,,,
0201006,Crossett High School,,,,99,98,19.27,17.33,17.89,18.85,18.50,0,RV,RV,RV,143,241,44,,62.9,,,,,,,,,,,,,
0203018,Hamburg High School,,,,120,99,20.15,19.36,19.05,19.64,19.75,0,RV,RV,RV,166,256,37,,55.3,,,,,,,,,,,,,
0302007,Cotter High School,,,,40,26,22.81,22.12,21.12,21.85,22.15,0,RV,RV,RV,24,26,3,,67.6,RV,,,,,,,RV,,,,,
0303703,Mtn Home High Career Academics,,,,194,163,23.47,21.95,21.23,22.68,22.50,7,RV,RV,RV,131,143,54,,54.1,RV,,,,,,,RV,,,,,
0304022,Norfork High School,,,,17,11,20.82,19.18,21.27,20.91,20.73,0,RV,RV,RV,17,19,2,,48.3,RV,,RV,,,,,RV,,RV,,,
0401003,Bentonville High School,913,,,1201,844,23.27,22.36,21.78,22.64,22.67,81,598.00,595.00,577.00,1324,2408,1429,220,60.4,,,,,,,,,,,,,
0402009,Decatur High School,24,,,26,30,18.40,16.67,18.30,18.97,18.23,1,RV,RV,RV,17,18,1,,38.5,RV,,,,,,,RV,,,,,
0403014,Gentry High School,,,,70,65,21.54,20.45,20.29,20.86,20.88,0,RV,RV,RV,42,55,13,,47.1,RV,,,,,,,RV,,,,,
0404022,Gravette High School,,,,116,102,22.14,21.01,21.42,21.75,21.73,6,RV,RV,RV,95,127,28,,42,RV,,,,,,,RV,,,,,
0405048,Rogers High School,,,,368,365,23.22,22.12,22.02,22.74,22.68,16,596.00,577.00,562.00,748,1319,556,,57,,,,,,,,,,,,,
0405052,Rogers Heritage High School,,,,281,322,22.07,20.52,20.88,21.52,21.40,22,569.00,567.00,545.00,616,985,304,,40.4,,,,,,,,,,,,,
0405703,Rogers New Technology High School,,,,43,,,,,,,0,RV,RV,RV,145,122,24,,,RV,,,,,,,RV,,,,,
0406050,Siloam Springs High School,280,,,321,193,21.92,21.33,21.46,21.37,21.69,3,RV,RV,RV,216,297,148,,53.6,,,,,,,,,,,,,
0407027,Pea Ridge High School,,,,54,68,23.51,21.97,22.18,22.35,22.71,0,RV,RV,RV,171,295,61,,53.2,RV,,,,,,,RV,,,,,
0440703,Arkansas Arts Academy High School,,,,34,56,24.16,23.80,21.46,22.91,23.27,4,RV,RV,RV,66,78,40,,0,RV,,,,,,,RV,,,,,
0440703,Arkansas Arts Academy High School,,,,34,56,24.16,23.80,21.46,22.91,23.27,4,RV,RV,RV,66,78,40,,71.7,RV,,,,,,,RV,,,,,
0501002,Alpena High School,37,,,37,17,21.06,18.47,18.65,20.47,19.76,0,RV,RV,RV,20,30,5,,68.2,RV,,RV,,,,,RV,,RV,,,
0502007,Bergman High School,82,,,112,72,22.08,20.96,20.83,21.01,21.33,1,RV,RV,RV,27,32,8,,53.6,RV,,,,,,,RV,,,,,
0503016,Harrison High School,,,,146,140,23.53,22.28,21.42,22.55,22.59,6,RV,RV,RV,137,168,66,,65.1,RV,,,,,,,RV,,,,,
