LEA,LEADescription,Enrollment,NativeAmericanOrAlaskan,Hispanic,NativeHawaiianOrPacificIslander,BlackAfricanAmerican,TwoOrMoreRaces,White,Asian,EconDisadvantaged,SPED,LEP
0101001,Dewitt Elementary School,489,0,7.157464212678,0,13.087934560327,3.885480572597,75.869120654396,0,69.12,11.656441717791,3.476482617586
0101003,Dewitt Middle School,291,0,3.092783505154,0,10.652920962199,2.405498281786,83.848797250859,0,63.92,13.745704467353,0
0101004,Dewitt High School,390,0.25641025641,3.589743589743,0,15.641025641025,1.538461538461,78.717948717948,0.25641025641,53.59,14.358974358974,0.25641025641
0101008,Gillett Elementary School,87,0,1.149425287356,0,5.747126436781,1.149425287356,91.954022988505,0,52.87,6.896551724137,0
0104021,Park Avenue Elementary School,637,0,6.593406593406,0,49.293563579277,0.156985871271,43.171114599686,0.784929356357,74.41,13.500784929356,5.180533751962
0104023,Meekins Middle School,252,0,4.365079365079,0.79365079365,44.444444444444,1.984126984126,48.015873015873,0.396825396825,66.27,13.888888888888,3.968253968253
0104025,Stuttgart High School,510,0.196078431372,3.13725490196,0,43.92156862745,1.372549019607,49.607843137254,1.764705882352,54.12,6.862745098039,2.35294117647
0104026,Stuttgart Junior High School,262,0,1.908396946564,0,40.839694656488,1.908396946564,53.816793893129,1.526717557251,56.49,9.923664122137,2.290076335877
0201001,Crossett Elementary School,720,0.277777777777,4.305555555555,0.138888888888,34.861111111111,2.083333333333,58.055555555555,0.277777777777,71.25,11.25,2.777777777777
0201006,Crossett High School,529,0,2.646502835538,0,34.404536862003,0.567107750472,61.625708884688,0.756143667296,52.55,7.561436672967,1.323251417769
0201008,Crossett Middle School,536,0.186567164179,2.425373134328,0,37.126865671641,0.559701492537,59.328358208955,0.373134328358,63.43,9.701492537313,1.865671641791
0203017,Hamburg Middle School,487,0.205338809034,14.579055441478,0,23.203285420944,0.410677618069,61.601642710472,0,59.34,10.06160164271,8.418891170431
0203018,Hamburg High School,595,0.336134453781,9.411764705882,0,27.394957983193,0.336134453781,62.35294117647,0.16806722689,54.79,7.731092436974,5.714285714285
0203019,Wilmot Elementary School,49,0,12.244897959183,0,79.591836734693,0,8.163265306122,0,87.76,10.204081632653,12.244897959183
0203020,Noble/Allbritton Elementary Sc,679,0,16.347569955817,0,17.083946980854,1.472754050073,65.095729013254,0,65.1,11.782032400589,13.107511045655
0203027,Portland Elementary School,125,0,13.6,0,10.4,1.6,74.4,0,65.6,6.4,13.6
0302006,Amanda Gist Elementary School,408,0,0.245098039215,0.735294117647,0.245098039215,0,98.039215686274,0.735294117647,72.55,10.049019607843,0
0302007,Cotter High School,293,0.682593856655,3.754266211604,0,1.023890784982,0,94.19795221843,0.341296928327,65.53,10.238907849829,0
0303013,Nelson Wilks Herron Elementary,632,0.474683544303,4.588607594936,0.158227848101,0.474683544303,2.056962025316,91.455696202531,0.791139240506,61.08,15.03164556962,0.474683544303
0303014,Pinkston Middle School,618,0.323624595469,2.912621359223,0,0.323624595469,3.074433656957,93.36569579288,0,50.97,7.119741100323,0.647249190938
0303018,Mountain Home Kindergarten,267,0,5.243445692883,0,1.123595505617,2.996254681647,89.513108614232,1.123595505617,63.3,7.490636704119,1.872659176029
0303019,Mountain Home Jr. High School,302,0,3.973509933774,0,0,3.973509933774,91.721854304635,0.331125827814,54.64,10.264900662251,0.331125827814
0303024,Hackler Intermediate School,915,0.765027322404,4.371584699453,0.437158469945,0.109289617486,4.15300546448,89.508196721311,0.655737704918,55.63,11.693989071038,0.87431693989
0303703,Mtn Home High Career Academics,1226,0,3.262642740619,0,0.244698205546,2.52854812398,93.393148450244,0.570962479608,48.78,7.585644371941,0.407830342577
0304021,Norfork Elementary School,252,0,1.190476190476,0,0,1.984126984126,96.825396825396,0,82.94,18.253968253968,0
0304022,Norfork High School,220,0,1.363636363636,0,0,2.727272727272,94.090909090909,1.818181818181,80.91,10,0
0401001,Thomas Jefferson Elem. School,490,1.428571428571,10.408163265306,0.204081632653,4.897959183673,1.224489795918,79.38775510204,2.448979591836,37.55,9.795918367346,4.897959183673
0401002,Washington Junior High School,734,1.498637602179,8.446866485013,0.681198910081,2.58855585831,2.316076294277,80.517711171662,3.950953678474,29.84,12.806539509536,5.994550408719
0401003,Bentonville High School,4358,1.606241395135,11.771454795777,0.275355667737,3.189536484625,4.038549793483,74.414869206057,4.703992657182,22.37,8.949059201468,5.41532813217
0401004,R.E. Baker Elementary School,551,0.5444646098,3.085299455535,0.362976406533,2.177858439201,1.814882032667,86.38838475499,5.62613430127,12.7,10.16333938294,1.451905626134
0401005,Old High Middle School,598,1.33779264214,5.852842809364,0,1.839464882943,3.846153846153,85.785953177257,1.33779264214,28.76,11.705685618729,2.173913043478
0401006,Sugar Creek Elementary School,514,1.167315175097,8.560311284046,0,3.112840466926,3.501945525291,81.322957198443,2.334630350194,41.05,12.062256809338,2.918287937743
0401007,Apple Glen Elementary School,533,0.375234521575,11.819887429643,0.938086303939,2.626641651031,3.564727954971,70.356472795497,10.318949343339,32.08,9.943714821763,8.818011257035
0401008,Ardis Ann Middle School,623,1.765650080256,11.717495987158,0,3.691813804173,4.333868378812,74.478330658105,4.012841091492,28.57,15.248796147672,6.420545746388
0401009,Elm Tree Elementary School,610,1.803278688524,8.524590163934,0.327868852459,4.754098360655,3.442622950819,70.819672131147,10.327868852459,12.62,9.83606557377,2.622950819672
0401010,Lincoln Junior High School,830,1.927710843373,10.722891566265,0,4.216867469879,3.734939759036,76.626506024096,2.771084337349,28.67,11.204819277108,4.698795180722
0401011,Mary Mae Jones Elem. School,634,0.946372239747,22.870662460567,0.788643533123,3.154574132492,2.996845425867,55.678233438485,13.564668769716,54.42,10.252365930599,15.930599369085
0401012,Central Park At Morning Star,876,1.141552511415,8.789954337899,0.228310502283,3.196347031963,3.424657534246,79.680365296803,3.538812785388,13.7,8.675799086757,3.082191780821
0401013,Ruth Barker Middle School,571,2.101576182136,14.185639229422,0.175131348511,3.152364273204,4.378283712784,65.148861646234,10.858143607705,33.1,12.959719789842,10.683012259194
0401014,Centerton Gamble Elementary,650,1.538461538461,13.538461538461,0,1.692307692307,3.384615384615,76.76923076923,3.076923076923,38.62,12.307692307692,3.846153846153
0401015,Cooper Elementary School,680,1.470588235294,6.176470588235,0,0.147058823529,4.705882352941,86.617647058823,0.882352941176,25.15,9.85294117647,1.764705882352
0401016,Willowbrook Elementary School,835,1.197604790419,11.736526946107,0.239520958083,4.550898203592,4.43113772455,65.868263473053,11.976047904191,22.63,8.383233532934,6.347305389221
0401017,Bright Field Middle School,646,0.464396284829,8.823529411764,0.154798761609,2.476780185758,3.560371517027,76.160990712074,8.359133126934,19.97,10.681114551083,4.179566563467
0401018,J. William Fulbright Junior High School,764,1.178010471204,9.947643979057,0,1.832460732984,4.450261780104,75.261780104712,7.329842931937,20.16,9.816753926701,6.675392670157
0402008,Decatur Northside Elementary,284,4.929577464788,36.267605633802,1.056338028169,2.112676056338,0.352112676056,48.94366197183,6.338028169014,86.97,8.450704225352,26.760563380281
0402009,Decatur High School,141,4.255319148936,27.659574468085,0.709219858156,1.418439716312,0,56.028368794326,9.929078014184,82.27,11.347517730496,27.659574468085
0402011,Decatur Middle School,119,4.201680672268,31.092436974789,0.840336134453,2.521008403361,0.840336134453,55.462184873949,5.042016806722,81.51,10.924369747899,29.411764705882
0403013,Gentry Intermediate School,305,4.590163934426,16.065573770491,0,0.655737704918,5.901639344262,66.229508196721,6.55737704918,68.52,11.803278688524,13.770491803278
0403014,Gentry High School,450,6.666666666666,11.777777777777,0.222222222222,0,9.777777777777,63.111111111111,8.444444444444,51.56,9.777777777777,7.555555555555
0403015,Gentry Middle School,327,5.198776758409,11.926605504587,0,0,4.892966360856,71.865443425076,6.11620795107,56.57,15.596330275229,7.03363914373
0403016,Gentry Primary School,336,6.845238095238,13.988095238095,0.595238095238,0.595238095238,5.95238095238,63.095238095238,8.928571428571,65.18,6.547619047619,8.928571428571
0404022,Gravette High School,619,1.130856219709,5.008077544426,0.484652665589,0.484652665589,1.453957996768,89.983844911147,1.453957996768,37.96,10.339256865912,2.423263327948
0404023,Glenn Duffy Elementary School,386,4.40414507772,6.994818652849,0.518134715025,0.518134715025,4.663212435233,81.347150259067,1.554404145077,56.99,11.139896373056,2.849740932642
0404024,Gravette Middle School,453,1.986754966887,6.622516556291,1.103752759381,0.441501103752,3.090507726269,86.092715231788,0.662251655629,46.36,13.245033112582,3.532008830022
0404025,Gravette Upper Elementary,412,3.155339805825,7.038834951456,0.485436893203,0.485436893203,1.456310679611,86.650485436893,0.728155339805,55.58,15.533980582524,4.126213592233
0405031,Eastside Elementary School,533,0.562851782363,58.348968105065,0.750469043151,0.750469043151,0.750469043151,38.836772983114,0,74.11,8.630393996247,43.714821763602
0405032,Garfield Elementary School,131,2.290076335877,9.923664122137,0,0,6.106870229007,81.679389312977,0,66.41,15.267175572519,6.870229007633
0405033,Lowell Elementary School,444,0,39.639639639639,0.9009009009,1.351351351351,0.225225225225,56.306306306306,1.576576576576,54.73,10.585585585585,35.135135135135
0405034,Northside Elementary School,538,1.486988847583,36.245353159851,1.301115241635,1.115241635687,0.185873605947,58.364312267657,1.301115241635,68.96,13.011152416356,30.297397769516
0405036,Westside Elementary School,427,0.936768149882,41.451990632318,0.702576112412,1.639344262295,2.576112412177,51.522248243559,1.170960187353,65.34,10.772833723653,32.55269320843
0405037,Elmwood Middle School,798,0.375939849624,41.604010025062,0.751879699248,2.130325814536,1.002506265664,53.007518796992,1.127819548872,53.88,9.774436090225,29.824561403508
0405039,Oakdale Middle School,802,0.997506234413,45.635910224438,1.122194513715,1.371571072319,1.49625935162,46.009975062344,3.366583541147,72.57,12.842892768079,37.655860349127
0405040,Grace Hill Elementary School,453,0.662251655629,62.913907284768,1.766004415011,1.324503311258,0.662251655629,32.229580573951,0.441501103752,88.96,9.050772626931,53.421633554083
0405041,Bonnie Grimes Elem. School,445,0.449438202247,64.044943820224,1.797752808988,0.67415730337,0.67415730337,31.460674157303,0.898876404494,80.45,13.258426966292,54.38202247191
0405042,Reagan Elementary School,439,0.683371298405,28.701594533029,0.911161731207,2.50569476082,2.050113895216,59.908883826879,5.239179954441,54.44,12.300683371298,22.55125284738
0405043,Frank Tillery Elem. School,602,1.328903654485,46.179401993355,0.16611295681,0.830564784053,1.495016611295,49.501661129568,0.498338870431,79.07,9.302325581395,35.880398671096
0405044,Joe Mathias Elementary School,543,1.289134438305,57.274401473296,2.762430939226,2.946593001841,1.47329650092,32.044198895027,2.209944751381,83.43,10.12891344383,51.197053406998
0405045,Kirksey Middle School,1023,0.488758553274,47.898338220918,0.586510263929,2.248289345063,1.270772238514,44.281524926686,3.225806451612,58.85,11.045943304007,38.905180840664
0405046,Lingle Middle School,899,1.223581757508,40.934371523915,0.444938820912,1.779755283648,1.779755283648,53.615127919911,0.222469410456,68.3,13.459399332591,29.92213570634
0405047,Bellview Elementary,448,0.223214285714,8.482142857142,0,3.794642857142,0.446428571428,81.696428571428,5.357142857142,9.6,12.276785714285,5.357142857142
0405048,Rogers High School,2015,0.496277915632,43.076923076923,0.942928039702,1.439205955334,0.942928039702,50.669975186104,2.4317617866,49.43,8.982630272952,25.409429280397
0405049,Jones Elementary School,499,1.002004008016,76.553106212424,0.200400801603,1.202404809619,1.002004008016,19.038076152304,1.002004008016,86.17,11.222444889779,67.134268537074
0405050,Elza R. Tucker Elem. School,578,0.865051903114,44.463667820069,1.557093425605,1.384083044982,1.903114186851,47.404844290657,2.422145328719,63.15,10.553633217993,32.698961937716
0405051,Old Wire Elementary School,532,0.563909774436,60.902255639097,1.691729323308,3.383458646616,1.691729323308,28.75939849624,3.007518796992,82.33,6.954887218045,52.631578947368
0405052,Rogers Heritage High School,2013,1.291604570293,42.424242424242,0.894187779433,1.390958768007,1.53999006458,50.968703427719,1.490312965722,61.35,12.617983109786,28.117237953303
0405053,Janie Darr Elementary School,480,0.833333333333,11.458333333333,0,2.708333333333,3.541666666666,77.083333333333,4.375,13.54,4.375,4.375
0405703,Rogers New Technology High School,385,0.77922077922,33.246753246753,0.77922077922,0.77922077922,1.038961038961,60.77922077922,2.597402597402,49.35,8.831168831168,15.324675324675
0406045,Siloam Springs Intermediate School,615,6.666666666666,25.853658536585,0.325203252032,0.650406504065,2.113821138211,61.30081300813,3.089430894308,57.07,13.0081300813,17.723577235772
0406046,Northside Elementary School,306,4.901960784313,31.045751633986,0,0.653594771241,3.59477124183,56.862745098039,2.941176470588,67.65,13.398692810457,21.56862745098
0406047,Southside Elementary School,592,6.587837837837,29.222972972972,0,0.506756756756,4.054054054054,57.432432432432,2.195945945945,61.99,11.824324324324,19.425675675675
0406048,Delbert "pete" & Pat Allen Ele,642,4.828660436137,30.529595015576,0.31152647975,1.246105919003,3.582554517133,56.697819314641,2.803738317757,68.22,15.576323987538,22.27414330218
0406049,Siloam Springs Middle School,657,5.783866057838,25.114155251141,0.152207001522,0.913242009132,3.500761035007,61.79604261796,2.739726027397,53.73,9.893455098934,16.590563165905
0406050,Siloam Springs High School,1301,6.687163720215,26.74865488086,0.230591852421,1.152959262106,2.536510376633,60.107609531129,2.536510376633,51.65,9.300538047655,17.601844734819
0407025,Pea Ridge Primary School,400,0.5,6.75,0,1.25,4,87.25,0.25,48.25,9.5,1
0407026,Pea Ridge Intermediate School,411,0.729927007299,8.029197080291,0,0,2.189781021897,88.807785888077,0.243309002433,53.53,13.138686131386,3.406326034063
0407027,Pea Ridge High School,459,0.871459694989,4.79302832244,0,1.52505446623,0.217864923747,92.374727668845,0.217864923747,36.82,7.843137254901,1.307189542483
0407028,Pea Ridge Middle School,484,0.826446280991,5.99173553719,0,0.619834710743,0.413223140495,91.94214876033,0.206611570247,44.01,9.710743801652,2.066115702479
0407703,Pea Ridge Manufacturing & Business Academy,87,2.298850574712,6.896551724137,0,2.298850574712,0,88.505747126436,0,50.57,8.045977011494,2.298850574712
0440701,Arkansas Arts Academy Elementary/Middle School,520,0.961538461538,15.961538461538,0.76923076923,1.538461538461,6.153846153846,73.653846153846,0.961538461538,38.46,9.038461538461,5.192307692307
0440703,Arkansas Arts Academy High School,238,2.100840336134,10.084033613445,0.840336134453,3.781512605042,1.26050420168,80.252100840336,1.680672268907,31.51,10.504201680672,3.781512605042
0442702,Northwest Arkansas Classical Academy,405,0.74074074074,13.333333333333,0,2.469135802469,2.962962962962,61.728395061728,18.765432098765,17.28,2.469135802469,3.456790123456
0442703,Northwest Arkansas Classical Academy High ,117,1.709401709401,14.529914529914,0,0,4.273504273504,70.08547008547,9.401709401709,17.95,5.128205128205,1.709401709401
0501001,Alpena Elementary School,295,0.338983050847,2.372881355932,0,1.694915254237,1.694915254237,93.559322033898,0.338983050847,72.88,16.271186440677,1.694915254237
0501002,Alpena High School,226,1.327433628318,3.097345132743,0,0.442477876106,2.654867256637,92.477876106194,0,65.93,17.699115044247,0
0502006,Bergman Elementary School,399,1.25313283208,3.258145363408,0,0.501253132832,0,94.736842105263,0.250626566416,61.4,10.526315789473,0
0502007,Bergman High School,371,1.347708894878,2.964959568733,0,0,0.269541778975,95.148247978436,0.269541778975,49.33,10.242587601078,0
0502008,Bergman Middle School,362,1.10497237569,1.933701657458,0,0.276243093922,0,95.85635359116,0.828729281767,57.73,9.944751381215,0
0503011,Eagle Heights Elem. School,170,0,4.705882352941,0,0,2.941176470588,91.764705882352,0.588235294117,64.12,10,0
0503012,Forest Heights Elem. School,418,1.196172248803,3.34928229665,0,0.23923444976,2.392344497607,91.626794258373,1.196172248803,53.11,10.526315789473,0.23923444976
0503013,Skyline Heights Elem. School,370,0.27027027027,5.945945945945,0,0.27027027027,1.621621621621,90.81081081081,1.081081081081,53.24,7.837837837837,1.081081081081
0503014,Woodland Heights Elem. School,107,0.934579439252,2.803738317757,0,0.934579439252,0.934579439252,94.392523364485,0,69.16,26.168224299065,0.934579439252
0503015,Harrison Jr. High School,589,1.188455008488,3.90492359932,0.169779286926,0.169779286926,1.188455008488,92.869269949066,0.50933786078,45.5,8.99830220713,0
0503016,Harrison High School,626,0.638977635782,3.194888178913,0,0.479233226837,1.118210862619,93.610223642172,0.958466453674,45.53,4.952076677316,0.479233226837
0503018,Harrison Middle School,419,0.477326968973,2.625298329355,0,0,3.102625298329,93.317422434367,0.477326968973,50.12,8.35322195704,0.238663484486
0504022,Omaha Elementary School,224,1.339285714285,4.017857142857,0,1.339285714285,0,92.857142857142,0.446428571428,81.25,15.178571428571,0
0504023,Omaha High School,188,1.063829787234,3.723404255319,0,1.063829787234,0.531914893617,92.553191489361,1.063829787234,69.68,11.170212765957,0
0505026,Valley Springs Elem. School,359,0.278551532033,2.785515320334,0,0,0,96.935933147632,0,56.27,11.142061281337,0
0505027,Valley Springs High School,293,0.341296928327,1.706484641638,0,0.682593856655,1.706484641638,95.221843003412,0.341296928327,44.71,9.897610921501,0
